,Title,location,Posting_date,job_link,date,DESCRIPTION,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS,TEAM
168,"Software Development Engineer, Home Innovation Team ","US, WA, Seattle","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881745/software-development-engineer-home-innovation-team,2019-06-20,"Are you looking for a challenge? We are looking for a talented leader with strong technical and management background.As a Software Development Manager, you will lead your team to engineer, scale, and optimize large scale distributed systems. You will collaborate with technical teams and business owners within the fulfillment world, using your engineering background to optimize Amazon's world-class operations workforce.Opportunities abound in Amazon's Labor Management, Planning, & Scheduling Organization! We build cool technology to ensure that the right people are in the right places at the right times to power the largest fulfillment operation in the world.A commitment to teamwork, hustle, and strong communication skills are absolute requirements. Creating reliable, scalable, and high-performance services and architectures require exceptional technical expertise. If you have that type of expertise, you enjoy working on complex system software, you are customer centric, and you are motivated about building systems that can be operated at global scale with minimal human intervention, then we want to talk to you!Responsibilities:· Manage overall software development life-cycle· Leader of multiple software engineers in one team· Report on status of development, quality, operations, and system performance to management· Work closely with engineers to architect and develop the best technical design and approach· Foster culture of continuous engineering improvement through mentoring, feedback, and metrics· Hire, coach, and mentor individuals; build a strong cross-functional organization· Work with a diverse customer base to understand requirements, priorities, and processes· Own all operational metrics and support· Have the obsession to drive a better customer experience through everything that we do here at Amazon· Bring innovative ideas to the table every day, in order to find better ways of accomplishing our customer objectives· Set clear, measurable quality goals for the team in a data-driven wayPersonal traits not unique to this position, but necessary for Amazon leaders:· Demonstrate excellent judgment, are right a lot· Hire and develop the best people· Able to dive deep and never out of touch with the details of the business· Strong results orientated approach.· Think big and have a bias for Action· Deal well with ambiguity","· Bachelor's degree in Computer Science, Computer Engineering or 6+ related years of work experience· Software development background in object-oriented programming, distributed systems, Java, C++, Linux/UNIX, and SQL· 4+ years of experience managing software development teams with hands-on involvement in system architecture, design, and performance· Deep technical expertise and strong problem-solving and data analysis skills· Excellent verbal and written communication skills with the ability to present complex technical information clearly and concisely to a variety of audiences· The ability to handle multiple competing priorities in a fast-paced environment· A thorough understanding of software development in a team and a strong track record of shipping software",· 6+ years experience in Agile Software Development methodologies· Experience with development of large scale distributed systems· Strong business and technical vision,Amazon Fulfillment Technologies
169,Software Development Manager - Prime Video Discovery & Live Sports,"US, WA, Seattle","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881741/software-development-manager-prime-video-discovery-live-sports,2019-06-20,"The AmazonFresh and Prime Now teams are seeking a Software Development Engineer to join our team that is focused on building mission critical software used by Amazon customers. As a developer on the team you’ll drive improvements to our technology, collaborating with sharp engineers and highly-engaged users to ship code continuously. We have many domains ranging from highly-scalable transactional backend systems, to complex optimization problems, to customer facing mobile apps, so if you love building world-class software of any type, most likely we have a place for you. We’re truly an agile shop: we work closely with users, deliver features with high frequency, can pivot on a dime when needed, and are aggressive about test coverage, refactoring and paying off technical debt. We’re looking for software development leaders who share our passion for continuously improving the customer experience, who are motivated by challenging problems in distributed systems, algorithms, and HCI and who love writing great code. If you have an entrepreneurial spirit, know how to deliver, are deeply technical, highly innovative and long for the opportunity to build pioneering solutions to challenging problems, we want to talk to you. This position is located in Irvine, California. Lots of sun, close to the beach, excellent schools, and a great group of people. Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation","· Bachelor’s Degree in Computer Science or related field· 5+ years professional experience in software development· Computer Science fundamentals in object-oriented design· Computer Science fundamentals in data structures· Computer Science fundamentals in algorithm design, problem solving, and complexity analysis· Proficiency in, at least, one modern programming language such as C, C++, Java, Python, Scala, Ruby, C#, etc.","• Familiarity with cloud computing• Experience building scalable, available, and low-latency systems• Experience with machine learning and feedback loops• Experience using functional programming languages• Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations• Ability to take a project from scoping requirements through actual launch of the project",Amazon Fresh
170,Software Development Engineer II - AMZ3153,"US, CA, Cupertino","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881736/software-development-engineer-ii-amz3153,2019-06-20,"Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of self-service performance advertising products that drive discovery and sales. Our products are strategically important to our Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products. We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.India Advertising Tech works with some of Amazon's fastest growing strategic businesses, such as Sponsored Products and AMS to provide advertising platforms for India. We help marketplace sellers gain visibility to Amazon retail customers while maintaining a high bar for the customer experience of Amazon shoppers. The availability of our advertising encourages merchants to sell on Amazon and increase our selection because they can compete with all the incumbent sellers for customer attention with our help. We are passionate about building scalable, well-designed software, and strive to constantly improve our technical foundation and user experience.· Work from the customer backward to develop product strategy, product definition, process, and metrics to drive revenue invoicing for Amazon’s 3rd party advertising campaigns· Manage products through initial launch and follow-on releases· Provide innovative thinking and recommendations to shape Amazon’s ad products and business opportunities.· Write business cases and produce financial models for key strategic projects.· Create WW process for use across a large globally distributed Ad Services org· Help define and drive the overall product strategy and roadmap.· Own portions of the roadmap for our advertising platform and products.· Provide a strong sense of ownership and focus on execution.· Define and manage the success metrics for products or services and track performance.· Work across teams in a dynamic environment made up of business leaders, finance, other product leaders, analysts, designers, engineers, business development leaders, partners and, most importantly, customers.","· Bachelor’s Degree in Computer Science or related field or equivalent experience· 10+ years of software development experience with 4 years of people management experience· Proficiency in, at least, one modern programming language such as C, C++, C#, Java, or Perl· Excellent people management skills· Professional experience in web software development· Expert in Front-end web technologies and trends· Experienced in multi-tier large scale web architecture· Excellent Computer Science fundamentals in object-oriented design, data structures and algorithms· Excellent problem solving and troubleshooting skills· Demonstrated ability to go the extra mile to do things right and fast· Able to learn large scale complex systems quickly· Able to mentor other engineers in technical aspects","· Willingness to roll up your sleeves and do whatever is necessary; general manager / owner mentality and an entrepreneurial drive· Previously held a technical leadership role for several complete large-scale projects· Experience with Agile (SCRUM, RUP, XP), OO modeling, web services, and payment processing systems· Experience mentoring and training the engineering community on complex technical issues· Demonstrated ability to understand and discuss technical concepts, and a consideration for scale, efficiency and performance· Track record of delivery· Sharp analytical abilities and proven design skills",Amazon.in
171,"Software Development Manager, Games","US, WA, Seattle","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881682/software-development-manager-games,2019-06-20,"Address Intelligence and Experience (AIX) is looking for a Senior Software Development Engineer for our team based in Chennai, India. This team is responsible for ensuring best-in-class delivery experience for customers who shop on Amazon.The AIX team does this by learning all we can about every possible delivery location on the planet and using these inputs to drive accurate, efficient and low cost delivery to our customers. We aim to make every address printed on an Amazon shipping label accurate and deliverable, while ensuring we have additional intelligence such as access codes, location photos, geocodes, business hours, and customer delivery preferences. To achieve this worldwide, we focus on building comprehensive address data models for the regions we operate in, and on developing sophisticated ML based software that recognizes and validates customer addresses, learns from historical data as well as through crowd sourced intelligence. A unique challenge for our team is that while all our platforms and technology have to be global and scalable, our solutions are always highly customized for each region given that addresses are structured and managed very differently across countries.In this role you will be part of a world class software engineering team which works on some of the most complex, innovative and challenging technology problems while maintaining work life balance.You’ll architect solutions using deep learning (neural networks) algorithms, predictive analytics, machine learning, computer vision and other cutting edge technology solutions.You will provide technical leadership to the team, drive best practices, mentor other engineers and drive continuous improvements in engineering and operational excellence.","· Bachelor’s Degree in Computer Science or related field & 3+ years of hands on experience in software development, including design, implementation, debugging, and support· Expert knowledge of one of the following programming languages: Java, C and C++· Deep understanding of distributed systems and web services technology OR deep understanding of databases· Strong at applying data structures, algorithms, and object oriented design, to solve challenging problems","· Analytical abilities, proven design skills and a track record of delivery· Experience with data analysis/mining in large scale database environments· Linux experience· Lean methodology experience",Fulfilment Transportation
172,Sr. Front End Web Development Engineer – AWS Glue,"US, NY, New York","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881647/sr-front-end-web-development-engineer-aws-glue,2019-06-20,"What do we do here? Amazon Web Services (AWS) runs one of the largest networks in the world. We are putting services and algorithms in place to control the traffic flow across the different fabrics of the Amazon network, taking static topological information as well as real-time network inputs into account.Why do we do that? In Amazon, we are always customer obsessed. By responding fast to network changes like scaling, maintenance, failure, security and other types of events, we lower the cost and overhead for customers, while driving up performance, availability and reliability.Why now? As we expand the reach of our algorithms, we need to scale and grow our team. We are looking for talented software engineer that want to get hands on experience with Software Defined Networking (SDN), hyper scale data center networks, cloud infrastructure, large-scale software deployments, algorithms and SOA.How do we operate in our team? We empower our engineers to take ownership of their realm and make a difference. They start by gathering requirements, diving deep to choose technologies, designing features and spinning new services, coding and reviewing, deploying software across the globe and maintaining services. In AWS, we are nimble and agile, like being part of a startup, innovating while collaborating with smart group of people around you. We are thrilled about software and we are changing the landscape of networking. We operate on an unimaginable scale. We push the boundaries in robustness, fault-tolerance and smart adaptive algorithms that can react intelligently to real-world events. Software engineers on our team contribute to every phase of the development process and deploy scalable software systems worldwide.What will you be doing here?· Designing and developing network control plane software for highly scaled networks, using SDN and traditional routing/switching solutions.· Influencing the team, setting the right architectural standards, and setting standard for organization/industry.· Working with management, customers and development team to develop state of the art solutions, incorporating new technologies and algorithms and innovations.· Being hands-on with end-to-end product life cycle: from defining the product strategy, design, develop to deployment.Who are we? We are a highly motivated team of software developers who thrive on solving challenging problems and building large-scale distributed software systems.Who are we looking for? Smart, talented and seasoned engineers. You do not need to have networking background up front. Join us if you like working hard, having fun and making history. We do just that.Have more questions? Talk to us! We'll be happy to setup an info call to give you more context and details about the job.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / VetVisit www.amazon.jobs for more information.","· A bachelor's degree or higher in Computer Science (or equivalent).· 7+ years of experience in building production software applications.· 7+ years of experience in software development preferably in Java, Python, C/C++ on Linux environment.","· A solid grounding in Computer Science fundamentals, data structures, algorithms, object-oriented design and systems architecture.· A solid understanding of performance and efficiency issues.· Experience in building complex software systems that have been successfully delivered to customers.· Experience with distributed algorithms, SOA, enterprise-wide systems and asynchronous messaging.· Experience in mentoring software engineers to improve their skills and efficiency.· Ability to take a project from scoping requirements through actual launch of the project.· Excellent leadership, verbal and written communication skills.· Meets/exceeds Amazon’s leadership principles requirements for this role.· Meets/exceeds Amazon’s functional/technical depth and complexity for this role.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age",Software Development Engineers
173,Software Development Engineer - Silicon Optimization Engineering Team,"US, TX, Austin","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881640/software-development-engineer-silicon-optimization-engineering-team,2019-06-20,"Are you a QAE who's up for a challenge? Amazon is growing fast globally and in order for the company to continue to succeed, we must have robust internal products and services that scale with the growth of the workforce.Amazon People Technology is migrating its core human capital management (HCM) software to Workday. In the process of this migration, the team is building out a software ecosystem and configuring Amazon’s business processes to allow us to transition smoothly. We are looking for an experienced SDE that will build the ecosystem and configuration needed to migrate and scale Amazon’s workforce in Workday while maintaining and improving our service to employees. Our ideal team members thrive in a rapidly changing environment, relish finding and stretching system limits, enjoy the challenge of highly complex business contexts (that are typically being defined in real-time), and, above all else, are passionate builders of consistent, scalable, and maintainable automation frameworks and tools.You are willing to insist on the highest standards for quality, maintainability, performance, and user experience. You will define and evolve the teams’ methodologies for updating Workday configuration and integrations at a fast pace with no user disruptions. You will own the goals and roadmap of our Workday implementation to meet the needs of Amazon’s global workforce. You will demonstrate strong leadership as you control your own destiny in Amazon's ownership oriented culture.People Tech QA isn't about the job of ""adding test cases,"" but about creating a scalable quality infrastructure into which all engineers contribute tests. Since you recognize that software created for automation is still software, you'll ensure your team follows standard development process, from requirements through release.We're looking for QAEs who are hungry to build things from scratch, leverage existing solutions, and who can bring next-generation test automation technologies into a fresh new space. We're looking to move fast; our QAEs and SDETs will implement test frameworks and pipelines, then train up Dev teams in their care and maintenance so that continuous quality can be self-sustaining. QAEs and SDETs will implement automatic data collection for use in live quality dashboards. Want a challenge where you can Think Big? You'll be able to engage with multiple internal teams on collaborative automation solutions, helping People Tech drive toward seamless, trustworthy employee data integrations. Be a key part of delivering a great user experience to Amazon employees.· Project test plan creation and execution.· Gathering and reporting relevant and actionable metrics.· Enforcing, auditing, and streamlining software test and delivery processes.· Collaborating with dev teams and your team peers to identify and prioritize opportunities for automation.· Building and debugging automation· When you're ready, start mentoring junior engineers so they can become as good as you are.· Think you have what it takes to rise to the challenge? Apply today!","· Bachelor's Degree in Computer Science or related field, or 5+ year relevant work experience· Demonstrated strong coding and design proficiency in at least one modern programming language such as Java, C# or C++· Knowledge of professional software engineering best practices for the full software development life cycle, including coding standards, code reviews, source control, build and release processes, continuous deployment, and test suite development and maintenance· Strong analytic and problem-solving skills· Excellent written and spoken communication","The following skills and experience are helpful, but not required:· Experience with source control / configuration management tools (e.g. Git)· Experience developing software using IDE in a Linux environment· Experience designing and developing automation test frameworks and tools in Java or C#/C++, or equivalent experience· Experience with standard QA tools and practices, such as functional API testing, integration testing, and UI functionality and usability testing, with a passion for automation· Experience testing in a service-oriented architecture· Familiarity with Java unit-testing frameworks· Competency in database technology – relational and non-relational databases· Schema mapping experienceDevelopment or testing expertise in one or more of the following third-party applications are helpful, but not required:· PeopleSoft (including Stat change management)· Kronos time and labor systems integration· Workday HRM",People Technology
174,"Software Development Engineer - People Technology, Remote","US, Virtual","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881606/software-development-engineer-people-technology-remote,2019-06-20,"Do you want to learn what it takes to deliver millions of ads from thousands of advertisers across the globe instantly that enhance the shopping experience with highly relevant and engaging advertising? The Advertising Supply & Monetization team provides tools and services to create, deliver, and manage ads on Amazon.com and other Amazon properties.The Supply & Monetization team sits at the tip of the spear for the advertising organization. It’s is responsible for the successful uptime of thousands of placements running billions of ad impressions across 10+ countries. Its work is seen by 100s of millions of customers across our properties. We own the creation, performance, and ultimate monetization for these properties, considering the value they bring to Consumers, Advertisers, and Amazon.You will directly drive multiple key programs and technologies that enable this team's success and be responsible for technology, product, and program deliverables. You will directly lead a team of engineers and technical program managers and partner with senior product and engineering leaders across Advertising to drive the success of your products, technologies, and programs. You will also be looked upon as one of the key technical leaders in Amazon's NYC advertising office and influence our culture, hiring, and success.","· 10+ years of relevant engineering experience· 5+ years of people management experience, managing engineers· Experience in partnering with product and program management teams·Bachelor’s degree in Business, Engineering, Computer Science or equivalent· Track record of completing medium to large-scale projects from initiation to delivery· Ability to establish and manage projects and initiatives against a set of key metrics and goals· Strong analytical, project management and organizational skills· Strong verbal and written communication abilities: must effectively communicate with technical and non-technical people· Willingness to roll up your sleeves and do whatever is necessary; owner mentality and an entrepreneurial drive; demonstrated ability to have fun and inspire team","·Masters or advanced degree· 3+ years experience in online advertising, web-based technologies, API development and externalization· Passionate about generating big, creative ideas to differentiate in the market, growing the business and working with advertisers and their partners to build innovative products· Analytical and able to create sound business arguments backed up by data· Ability to lead and influence across different organizations and align diverse teams to a common goal· Handle multiple contending priorities in an energizing environment· Willing to think and act both strategically and tacticallyAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Display Ad Products
175,"Software Development Engineer, Employee Engagement in the Community","US, WA, Seattle","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881586/software-development-engineer-employee-engagement-in-the-community,2019-06-20,"Amazon Mobile is one of our fastest growing strategic new businesses focused on mobile commerce. We build, launch and manage Amazon’s business on mobile websites and apps across all smartphone and tablet surfaces. Our team is responsible for creating the best shopping experience for customers wherever they go on their favorite mobile devices.The Mobile Shopping Core Team is building the next generation mobile foundation to power fluid and interactive experiences within the Amazon Shopping applications, for both iOS and Android. Our software is used by hundreds of developers from within Amazon to power the amazing experiences our customers see within the application. We focus on making development and integration with a fast evolving application easy. We want our customers to go from wanting a product to search, shop and buying it in 30 seconds or less in our award winning Amazon Mobile family of applications – the Mobile Shopping Core team is where that all begins.About you:You are an engineer looking for a career where you'll be able to build, to deliver, and to impress. You are passionate about mobile and want to disrupt the world of application development on mobile devices. You want to build and enable others to build rich customer experiences, utilizing to the fullest possible extent all the cool hardware on the device. You want to work on projects that require creative thinking and deep understanding of the problem space. You challenge yourself and others to constantly come up with better solutions. You're a thought leader, but you don't just know how to solve the problem, you prove it by building the solution. Last but not the least; you have a high bar for code quality and passion for design and architecture.About us:We're going to change the way customers interact and experience mobile applications. Along the way, we're going to face challenging and interesting problems. We’ll work together to find solutions that are superior to the proposals we started with, and work together to understand and make tough decisions that challenge our original assumptions.Some of the challenges we’ll work on include:· Building a unified cross device application framework using both native and web technologies· Optimizing experience on variety of devices – both from a UX and system perspective· Enabling rich customer experiences by leveraging on device capabilities (Cameras, GPS, Gyroscope, Core ML)","· Bachelor's degree in Computer Science, Math, Physics or Electrical Engineering· 3+ years professional experience in software development· Proficiency in Computer Science fundamentals – object oriented design, data structures, algorithm - design, problem solving, and complexity analysis· Proficiency in at least one modern object oriented language such as Java, C# or Objective-C· Excellent analytical and design skills","· Master in Computer Science, Math, Physics or Electrical Engineering· 5+ years of industry experience· Experience building complex mobile applications on Android or iOS· Experience in web technologies such as JavaScript, React, AJAX and HTML5· Experience mentoring and training the engineering community on complex technical issuesAmazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.",Mobile Shopping
176,Software Development Engineer,"UK, London","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881573/software-development-engineer,2019-06-20,"ECS is the best way to run containers in AWS. We need a Senior SDE who wants to make it even better. The Elastic Container Service is the infrastructure that our customers use to launch hundreds of millions of containers each week. Our ability to scale and launch new features while maintaining availability is what sets us apart and keeps us growing fast.You will be joining a small team with the charter to make containers the new compute primitive and the first choice when architecting modern applications. Here, you have the chance to be a part of defining how developers use containers at the world’s largest cloud computing company.As a Senior Software Development Engineer, you will be expected to:· Help the team create a first-class experience for our customers· Solve difficult problems with elegant and practical code· Design, build, deploy, and own scalable and robust systems and tools· Be a leader on a growing team of engineers, helping develop others’ skills· Collaboratively drive architecture and technology choices for the team· Lead the development of project plans and commitments, and then deliver consistently against those commitments","· 4+ years of professional software development experience· 3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems* BS in Computer Science or equivalent* 5+ years of software development experience (Java, C, C++, Go)* Experiences with data structures and object-oriented design* Experiences with building and operating highly-available services","* Expert design/architecting large-scale distributed systems* Do well in a fast-paced, start-up like development environment* Strong customer focus.* Expert in verbal and written communication skills.* Expert in analytic and problem solving skills.* Development experiences with Java-based web servicesAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age",Software Development Engineers
177,"Sr Software Dev Engineer, AWS","AU, NSW, Sydney","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881567/sr-software-dev-engineer-aws,2019-06-20,"The Alexa Engine team moves toward the vision of delivering the Star Trek computer to our customers – the world’s best intelligent personal assistant, accessible via natural voice commands on any connected device.The Alexa Engine integrates Alexa technologies that go into Amazon and third-party devices; it is the underlying component for Alexa that allows other teams to build experiences. We build one set of common APIs for Amazon and third party devices and developers. We work across all Alexa teams to make sure that Alexa is always ready to respond to your requests in an accurate and timely manner. We also serve as a center of excellence for the Alexa organization. Since the Alexa Engine takes in all Alexa traffic, we manage and solve large-scale challenges like service scalability and availability. As we integrate so many different Alexa technology components, our team members have the opportunity to be introduced to many different technologies quickly in a hands-on way.Our Alexa Language Technologies team works on services that interact with the engine, like Automatic Speech Recognition (ASR), Language Understanding Systems, and Text to Speech.Interested in diving in?","· 2+ years of non-internship professional software development experience· Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.• Bachelor’s Degree in Computer Science or related field• Equivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of education• 3+ years professional experience in software development• Computer Science fundamentals in object-oriented design• Computer Science fundamentals in data structures• Computer Science fundamentals in algorithm design, problem solving, and complexity analysis• Knowledge of, at least, one modern programming language such as C, C++, C#, Java, or Perl","• Experience taking a leading role in building complex software systems that have been successfully delivered to customers• Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations• Experience with distributed computing and enterprise-wide systems• Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy• Experience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers• Experience influencing software engineers best practices within your team• Hands-on expertise in many disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in betweenAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Alexa Engine
178,"Software Development Engineer, Alexa Connected Devices","US, WA, Seattle","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881566/software-development-engineer-alexa-connected-devices,2019-06-20,"Within Amazon’s Corporate Financial Planning & Analysis team (FP&A), we enjoy a unique vantage point into everything happening within Amazon. As part of that, this role would be part of a team that is responsible for Company’s enterprise-wide financial planning & analytics environment.- Are you excited about working directly to empower users?- Love to get your hands dirty and solve challenging technical issues?This opportunity is a great fit for someone with software development skills with background in data architecture and metadata modeling skills, but who is eager for an opportunity to gain skills in other aspects of building & maintaining an enterprise-scale data & analytics software system.The data flowing through our platform directly contributes to decision-making by our CFO and all levels of finance leadership. If you’re passionate about building tools that enhance productivity, improve financial accuracy, reduce waste, and improve work-life harmony for a large and rapidly growing finance user base, come join us!Responsibilities of this position include:· Understand team software architecture and make technical trade-off decisions at application level. Automate and simplify team development, test, and operations processes. Design, develop, implement, test, document, and operate large-scale, high-volume, high-performance data structures for software services.· Define scalable design architecture, implement it via code and deliver it on schedule, applying appropriate technologies and current software engineering best practices.· Provide on-line reporting and analysis and a logical abstraction layer against large, multi-dimensional datasets and multiple sources. Gather business and functional requirements and translate these requirements into robust, scalable, operable solutions that work well within the overall data architecture.· Proficient in a broad range of data structures and algorithms and make appropriate implementation trade-off decisions. Write secure, stable, testable, maintainable code with minimal defects.· Understand the maintenance characteristics, runtime properties, and dependencies of your team’s software, including hardware platform, operating system and build dependencies.· Report on the status of projects in a timely and accurate fashion using available metrics. Take ownership of problems, propose solutions, and either take ownership for their resolution or ensure a clear hand-off to the right owner.· Evaluate and make decisions around the use of new or existing software products and tools.· Participate in the full development life cycle, end-to-end, from design, implementation and testing, to documentation, delivery, support, and maintenance.","· Bachelors / Master’s degree in Computer Science, Computer Engineering or related technical discipline.· 5+ years of work experience in software development and full product life-cycles· Proficiency in modern programming language(s) such as Java, Python, Go etc.· Proficient in Data & Software architecture· Experienced in software engineering best practices and experience developing distributed applications· Work in a devops environment and ability to serve as member of on-call rotation for critical off-hour support requests.· Quick learner with a positive attitude, professional demeanor, and strong analytical and troubleshooting skills.· Excellent communication (verbal and written) and interpersonal skills, and an ability to effectively communicate with both business and technical teams.","- Experience with building and maintaining API's- Excellent written and verbal communication skills- Demonstrated proficiency with Java, GO and Python Development- Experience with Amazon Web Services (S3, SNS, SQS, RedShift, DynamoDB, RDS, Lambda)- Experience with ETL (SQL and NO-SQL) database skills- Experience with OLAP technologies- Machine learning experience- Experience with Agile development methodologies- Financial systems experienceAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Corporate FP&A
179,Senior Software Development Engineer,"US, WA, Seattle","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881558/senior-software-development-engineer,2019-06-20,"The Alexa Engine team moves toward the vision of delivering the Star Trek computer to our customers – the world’s best intelligent personal assistant, accessible via natural voice commands on any connected device.The Alexa Engine integrates Alexa technologies that go into Amazon and third-party devices; it is the underlying component for Alexa that allows other teams to build experiences. We build one set of common APIs for Amazon and third party devices and developers. We work across all Alexa teams to make sure that Alexa is always ready to respond to your requests in an accurate and timely manner. We also serve as a center of excellence for the Alexa organization. Since the Alexa Engine takes in all Alexa traffic, we manage and solve large-scale challenges like service scalability and availability. As we integrate so many different Alexa technology components, our team members have the opportunity to be introduced to many different technologies quickly in a hands-on way.Our Alexa Language Technologies team works on services that interact with the engine, like Automatic Speech Recognition (ASR), Language Understanding Systems, and Text to Speech.Interested in diving in?","· 2+ years of non-internship professional software development experience· Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.• Bachelor’s Degree in Computer Science or related field• Equivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of education• 3+ years professional experience in software development• Computer Science fundamentals in object-oriented design• Computer Science fundamentals in data structures• Computer Science fundamentals in algorithm design, problem solving, and complexity analysis• Knowledge of, at least, one modern programming language such as C, C++, C#, Java, or Perl","• Experience taking a leading role in building complex software systems that have been successfully delivered to customers• Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations• Experience with distributed computing and enterprise-wide systems• Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy• Experience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers• Experience influencing software engineers best practices within your team• Hands-on expertise in many disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in betweenAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Alexa Engine
